Date,Order_ID,Dish_Name,Ingredient_Name,Quantity_Used,Unit,Stock_Available
2023-01-01,ORD-20230101-1216,Margherita Pizza,Mozzarella Cheese,0.25,kg,28.45
2023-01-01,ORD-20230101-3416,Margherita Pizza,Pizza Dough,1,ball,94
2023-01-01,ORD-20230101-3416,Margherita Pizza,Tomato Sauce,0.2,liter,48.65
2023-01-01,ORD-20230101-3416,Margherita Pizza,Mozzarella Cheese,0.25,kg,28.2
2023-01-01,ORD-20230101-9698,Cheeseburger,Burger Bun,1,piece,95
2023-01-01,ORD-20230101-9698,Cheeseburger,Burger Patty,1,piece,75
2023-01-01,ORD-20230101-9698,Cheeseburger,Mozzarella Cheese,0.05,kg,28.15
2023-01-01,ORD-20230101-9698,Cheeseburger,Lettuce,0.1,head,47.5
2023-01-01,ORD-20230101-9698,Cheeseburger,Tomatoes,0.05,kg,28.95
2023-01-01,ORD-20230101-9698,Cheeseburger,Onion,0.02,kg,24.85
2023-01-01,ORD-20230101-3896,Cheeseburger,Burger Bun,1,piece,94
2023-01-01,ORD-20230101-3896,Cheeseburger,Burger Patty,1,piece,74
2023-01-01,ORD-20230101-3896,Cheeseburger,Mozzarella Cheese,0.05,kg,28.1
2023-01-01,ORD-20230101-3896,Cheeseburger,Lettuce,0.1,head,47.4
2023-01-01,ORD-20230101-3896,Cheeseburger,Tomatoes,0.05,kg,28.9
2023-01-01,ORD-20230101-3896,Cheeseburger,Onion,0.02,kg,24.83
2023-01-01,ORD-20230101-1341,Cheeseburger,Burger Bun,1,piece,93
2023-01-01,ORD-20230101-1341,Cheeseburger,Burger Patty,1,piece,73
2023-01-01,ORD-20230101-1341,Cheeseburger,Mozzarella Cheese,0.05,kg,28.05
2023-01-01,ORD-20230101-1341,Cheeseburger,Lettuce,0.1,head,47.3
2023-01-01,ORD-20230101-1341,Cheeseburger,Tomatoes,0.05,kg,28.85
2023-01-01,ORD-20230101-1341,Cheeseburger,Onion,0.02,kg,24.81
2023-01-01,ORD-20230101-4237,Caesar Salad,Lettuce,0.5,head,46.8
2023-01-01,ORD-20230101-4237,Caesar Salad,Tomatoes,0.2,kg,28.65
2023-01-01,ORD-20230101-4237,Caesar Salad,Mozzarella Cheese,0.05,kg,28.0
2023-01-01,ORD-20230101-1486,Cheeseburger,Burger Bun,1,piece,92
2023-01-01,ORD-20230101-1486,Cheeseburger,Burger Patty,1,piece,72
2023-01-01,ORD-20230101-1486,Cheeseburger,Mozzarella Cheese,0.05,kg,27.95
2023-01-01,ORD-20230101-1486,Cheeseburger,Lettuce,0.1,head,46.7
2023-01-01,ORD-20230101-1486,Cheeseburger,Tomatoes,0.05,kg,28.6
2023-01-01,ORD-20230101-1486,Cheeseburger,Onion,0.02,kg,24.79
2023-01-01,ORD-20230101-7823,Margherita Pizza,Pizza Dough,1,ball,93
2023-01-01,ORD-20230101-7823,Margherita Pizza,Tomato Sauce,0.2,liter,48.45
2023-01-01,ORD-20230101-7823,Margherita Pizza,Mozzarella Cheese,0.25,kg,27.7
2023-01-01,ORD-20230101-1924,Caesar Salad,Lettuce,0.5,head,46.2
2023-01-01,ORD-20230101-1924,Caesar Salad,Tomatoes,0.2,kg,28.4
2023-01-01,ORD-20230101-1924,Caesar Salad,Mozzarella Cheese,0.05,kg,27.65
2023-01-01,ORD-20230101-1638,Pepperoni Pizza,Pizza Dough,1,ball,92
2023-01-01,ORD-20230101-1638,Pepperoni Pizza,Tomato Sauce,0.2,liter,48.25
2023-01-01,ORD-20230101-1638,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,27.45
2023-01-01,ORD-20230101-1638,Pepperoni Pizza,Pepperoni,0.1,kg,19.7
2023-01-01,ORD-20230101-2297,Cheeseburger,Burger Bun,1,piece,91
2023-01-01,ORD-20230101-2297,Cheeseburger,Burger Patty,1,piece,71
2023-01-01,ORD-20230101-2297,Cheeseburger,Mozzarella Cheese,0.05,kg,27.4
2023-01-01,ORD-20230101-2297,Cheeseburger,Lettuce,0.1,head,46.1
2023-01-01,ORD-20230101-2297,Cheeseburger,Tomatoes,0.05,kg,28.35
2023-01-01,ORD-20230101-2297,Cheeseburger,Onion,0.02,kg,24.77
2023-01-01,ORD-20230101-9670,Cheeseburger,Burger Bun,1,piece,90
2023-01-01,ORD-20230101-9670,Cheeseburger,Burger Patty,1,piece,70
2023-01-01,ORD-20230101-9670,Cheeseburger,Mozzarella Cheese,0.05,kg,27.35
2023-01-01,ORD-20230101-9670,Cheeseburger,Lettuce,0.1,head,46.0
2023-01-01,ORD-20230101-9670,Cheeseburger,Tomatoes,0.05,kg,28.3
2023-01-01,ORD-20230101-9670,Cheeseburger,Onion,0.02,kg,24.75
2023-01-01,ORD-20230101-1889,Pepperoni Pizza,Pizza Dough,1,ball,91
2023-01-01,ORD-20230101-1889,Pepperoni Pizza,Tomato Sauce,0.2,liter,48.05
2023-01-01,ORD-20230101-1889,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,27.15
2023-01-01,ORD-20230101-1889,Pepperoni Pizza,Pepperoni,0.1,kg,19.6
2023-01-01,ORD-20230101-6900,Spaghetti Bolognese,Pasta,0.2,kg,49.6
2023-01-01,ORD-20230101-6900,Spaghetti Bolognese,Tomato Sauce,0.15,liter,47.9
2023-01-01,ORD-20230101-6900,Spaghetti Bolognese,Ground Beef,0.15,kg,39.7
2023-01-01,ORD-20230101-6900,Spaghetti Bolognese,Onion,0.05,kg,24.7
2023-01-01,ORD-20230101-2672,Caesar Salad,Lettuce,0.5,head,45.5
2023-01-01,ORD-20230101-2672,Caesar Salad,Tomatoes,0.2,kg,28.1
2023-01-01,ORD-20230101-2672,Caesar Salad,Mozzarella Cheese,0.05,kg,27.1
2023-01-01,ORD-20230101-3112,Spaghetti Bolognese,Pasta,0.2,kg,49.4
2023-01-01,ORD-20230101-3112,Spaghetti Bolognese,Tomato Sauce,0.15,liter,47.75
2023-01-01,ORD-20230101-3112,Spaghetti Bolognese,Ground Beef,0.15,kg,39.55
2023-01-01,ORD-20230101-3112,Spaghetti Bolognese,Onion,0.05,kg,24.65
2023-01-01,ORD-20230101-8309,Margherita Pizza,Pizza Dough,1,ball,90
2023-01-01,ORD-20230101-8309,Margherita Pizza,Tomato Sauce,0.2,liter,47.55
2023-01-01,ORD-20230101-8309,Margherita Pizza,Mozzarella Cheese,0.25,kg,26.85
2023-01-01,ORD-20230101-6059,Margherita Pizza,Pizza Dough,1,ball,89
2023-01-01,ORD-20230101-6059,Margherita Pizza,Tomato Sauce,0.2,liter,47.35
2023-01-01,ORD-20230101-6059,Margherita Pizza,Mozzarella Cheese,0.25,kg,26.6
2023-01-01,ORD-20230101-8483,Cheeseburger,Burger Bun,1,piece,89
2023-01-01,ORD-20230101-8483,Cheeseburger,Burger Patty,1,piece,69
2023-01-01,ORD-20230101-8483,Cheeseburger,Mozzarella Cheese,0.05,kg,26.55
2023-01-01,ORD-20230101-8483,Cheeseburger,Lettuce,0.1,head,45.4
2023-01-01,ORD-20230101-8483,Cheeseburger,Tomatoes,0.05,kg,28.05
2023-01-01,ORD-20230101-8483,Cheeseburger,Onion,0.02,kg,24.63
2023-01-01,ORD-20230101-6792,Spaghetti Bolognese,Pasta,0.2,kg,49.2
2023-01-01,ORD-20230101-6792,Spaghetti Bolognese,Tomato Sauce,0.15,liter,47.2
2023-01-01,ORD-20230101-6792,Spaghetti Bolognese,Ground Beef,0.15,kg,39.4
2023-01-01,ORD-20230101-6792,Spaghetti Bolognese,Onion,0.05,kg,24.58
2023-01-01,ORD-20230101-6409,Margherita Pizza,Pizza Dough,1,ball,88
2023-01-01,ORD-20230101-6409,Margherita Pizza,Tomato Sauce,0.2,liter,47.0
2023-01-01,ORD-20230101-6409,Margherita Pizza,Mozzarella Cheese,0.25,kg,26.3
2023-01-01,ORD-20230101-3084,Margherita Pizza,Pizza Dough,1,ball,87
2023-01-01,ORD-20230101-3084,Margherita Pizza,Tomato Sauce,0.2,liter,46.8
2023-01-01,ORD-20230101-3084,Margherita Pizza,Mozzarella Cheese,0.25,kg,26.05
2023-01-01,ORD-20230101-4578,Pepperoni Pizza,Pizza Dough,1,ball,86
2023-01-01,ORD-20230101-4578,Pepperoni Pizza,Tomato Sauce,0.2,liter,46.6
2023-01-01,ORD-20230101-4578,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,25.85
2023-01-01,ORD-20230101-4578,Pepperoni Pizza,Pepperoni,0.1,kg,19.5
2023-01-01,ORD-20230101-7176,Spaghetti Bolognese,Pasta,0.2,kg,49.0
2023-01-01,ORD-20230101-7176,Spaghetti Bolognese,Tomato Sauce,0.15,liter,46.45
2023-01-01,ORD-20230101-7176,Spaghetti Bolognese,Ground Beef,0.15,kg,39.25
2023-01-01,ORD-20230101-7176,Spaghetti Bolognese,Onion,0.05,kg,24.53
2023-01-01,ORD-20230101-2710,Margherita Pizza,Pizza Dough,1,ball,85
2023-01-01,ORD-20230101-2710,Margherita Pizza,Tomato Sauce,0.2,liter,46.25
2023-01-01,ORD-20230101-2710,Margherita Pizza,Mozzarella Cheese,0.25,kg,25.6
2023-01-01,ORD-20230101-2365,Pepperoni Pizza,Pizza Dough,1,ball,84
2023-01-01,ORD-20230101-2365,Pepperoni Pizza,Tomato Sauce,0.2,liter,46.05
2023-01-01,ORD-20230101-2365,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,25.4
2023-01-01,ORD-20230101-2365,Pepperoni Pizza,Pepperoni,0.1,kg,19.4
2023-01-01,ORD-20230101-7912,Spaghetti Bolognese,Pasta,0.2,kg,48.8
2023-01-01,ORD-20230101-7912,Spaghetti Bolognese,Tomato Sauce,0.15,liter,45.9
2023-01-01,ORD-20230101-7912,Spaghetti Bolognese,Ground Beef,0.15,kg,39.1
2023-01-01,ORD-20230101-7912,Spaghetti Bolognese,Onion,0.05,kg,24.48
2023-01-01,ORD-20230101-4261,Pepperoni Pizza,Pizza Dough,1,ball,83
2023-01-01,ORD-20230101-4261,Pepperoni Pizza,Tomato Sauce,0.2,liter,45.7
2023-01-01,ORD-20230101-4261,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,25.2
2023-01-01,ORD-20230101-4261,Pepperoni Pizza,Pepperoni,0.1,kg,19.3
2023-01-01,ORD-20230101-3929,Caesar Salad,Lettuce,0.5,head,44.9
2023-01-01,ORD-20230101-3929,Caesar Salad,Tomatoes,0.2,kg,27.85
2023-01-01,ORD-20230101-3929,Caesar Salad,Mozzarella Cheese,0.05,kg,25.15
2023-01-01,ORD-20230101-9026,Margherita Pizza,Pizza Dough,1,ball,82
2023-01-01,ORD-20230101-9026,Margherita Pizza,Tomato Sauce,0.2,liter,45.5
2023-01-01,ORD-20230101-9026,Margherita Pizza,Mozzarella Cheese,0.25,kg,24.9
2023-01-01,ORD-20230101-9828,Caesar Salad,Lettuce,0.5,head,44.4
2023-01-01,ORD-20230101-9828,Caesar Salad,Tomatoes,0.2,kg,27.65
2023-01-01,ORD-20230101-9828,Caesar Salad,Mozzarella Cheese,0.05,kg,24.85
2023-01-01,ORD-20230101-2594,Spaghetti Bolognese,Pasta,0.2,kg,48.6
2023-01-01,ORD-20230101-2594,Spaghetti Bolognese,Tomato Sauce,0.15,liter,45.35
2023-01-01,ORD-20230101-2594,Spaghetti Bolognese,Ground Beef,0.15,kg,38.95
2023-01-01,ORD-20230101-2594,Spaghetti Bolognese,Onion,0.05,kg,24.43
2023-01-01,ORD-20230101-2427,Margherita Pizza,Pizza Dough,1,ball,81
2023-01-01,ORD-20230101-2427,Margherita Pizza,Tomato Sauce,0.2,liter,45.15
2023-01-01,ORD-20230101-2427,Margherita Pizza,Mozzarella Cheese,0.25,kg,24.6
2023-01-01,ORD-20230101-6214,Cheeseburger,Burger Bun,1,piece,88
2023-01-01,ORD-20230101-6214,Cheeseburger,Burger Patty,1,piece,68
2023-01-01,ORD-20230101-6214,Cheeseburger,Mozzarella Cheese,0.05,kg,24.55
2023-01-01,ORD-20230101-6214,Cheeseburger,Lettuce,0.1,head,44.3
2023-01-01,ORD-20230101-6214,Cheeseburger,Tomatoes,0.05,kg,27.6
2023-01-01,ORD-20230101-6214,Cheeseburger,Onion,0.02,kg,24.41
2023-01-01,ORD-20230101-8645,Cheeseburger,Burger Bun,1,piece,87
2023-01-01,ORD-20230101-8645,Cheeseburger,Burger Patty,1,piece,67
2023-01-01,ORD-20230101-8645,Cheeseburger,Mozzarella Cheese,0.05,kg,24.5
2023-01-01,ORD-20230101-8645,Cheeseburger,Lettuce,0.1,head,44.2
2023-01-01,ORD-20230101-8645,Cheeseburger,Tomatoes,0.05,kg,27.55
2023-01-01,ORD-20230101-8645,Cheeseburger,Onion,0.02,kg,24.39
2023-01-01,ORD-20230101-6251,Pepperoni Pizza,Pizza Dough,1,ball,80
2023-01-01,ORD-20230101-6251,Pepperoni Pizza,Tomato Sauce,0.2,liter,44.95
2023-01-01,ORD-20230101-6251,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,24.3
2023-01-01,ORD-20230101-6251,Pepperoni Pizza,Pepperoni,0.1,kg,19.2
2023-01-02,ORD-20230102-2579,Cheeseburger,Burger Bun,1,piece,86
2023-01-02,ORD-20230102-2579,Cheeseburger,Burger Patty,1,piece,66
2023-01-02,ORD-20230102-2579,Cheeseburger,Mozzarella Cheese,0.05,kg,24.25
2023-01-02,ORD-20230102-2579,Cheeseburger,Lettuce,0.1,head,44.1
2023-01-02,ORD-20230102-2579,Cheeseburger,Tomatoes,0.05,kg,27.5
2023-01-02,ORD-20230102-2579,Cheeseburger,Onion,0.02,kg,24.37
2023-01-02,ORD-20230102-9173,Spaghetti Bolognese,Pasta,0.2,kg,48.4
2023-01-02,ORD-20230102-9173,Spaghetti Bolognese,Tomato Sauce,0.15,liter,44.8
2023-01-02,ORD-20230102-9173,Spaghetti Bolognese,Ground Beef,0.15,kg,38.8
2023-01-02,ORD-20230102-9173,Spaghetti Bolognese,Onion,0.05,kg,24.32
2023-01-02,ORD-20230102-2704,Spaghetti Bolognese,Pasta,0.2,kg,48.2
2023-01-02,ORD-20230102-2704,Spaghetti Bolognese,Tomato Sauce,0.15,liter,44.65
2023-01-02,ORD-20230102-2704,Spaghetti Bolognese,Ground Beef,0.15,kg,38.65
2023-01-02,ORD-20230102-2704,Spaghetti Bolognese,Onion,0.05,kg,24.27
2023-01-02,ORD-20230102-1430,Pepperoni Pizza,Pizza Dough,1,ball,79
2023-01-02,ORD-20230102-1430,Pepperoni Pizza,Tomato Sauce,0.2,liter,44.45
2023-01-02,ORD-20230102-1430,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,24.05
2023-01-02,ORD-20230102-1430,Pepperoni Pizza,Pepperoni,0.1,kg,19.1
2023-01-02,ORD-20230102-7409,Pepperoni Pizza,Pizza Dough,1,ball,78
2023-01-02,ORD-20230102-7409,Pepperoni Pizza,Tomato Sauce,0.2,liter,44.25
2023-01-02,ORD-20230102-7409,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,23.85
2023-01-02,ORD-20230102-7409,Pepperoni Pizza,Pepperoni,0.1,kg,19.0
2023-01-02,ORD-20230102-3977,Margherita Pizza,Pizza Dough,1,ball,77
2023-01-02,ORD-20230102-3977,Margherita Pizza,Tomato Sauce,0.2,liter,44.05
2023-01-02,ORD-20230102-3977,Margherita Pizza,Mozzarella Cheese,0.25,kg,23.6
2023-01-02,ORD-20230102-4307,Spaghetti Bolognese,Pasta,0.2,kg,48.0
2023-01-02,ORD-20230102-4307,Spaghetti Bolognese,Tomato Sauce,0.15,liter,43.9
2023-01-02,ORD-20230102-4307,Spaghetti Bolognese,Ground Beef,0.15,kg,38.5
2023-01-02,ORD-20230102-4307,Spaghetti Bolognese,Onion,0.05,kg,24.22
2023-01-02,ORD-20230102-1820,Cheeseburger,Burger Bun,1,piece,85
2023-01-02,ORD-20230102-1820,Cheeseburger,Burger Patty,1,piece,65
2023-01-02,ORD-20230102-1820,Cheeseburger,Mozzarella Cheese,0.05,kg,23.55
2023-01-02,ORD-20230102-1820,Cheeseburger,Lettuce,0.1,head,44.0
2023-01-02,ORD-20230102-1820,Cheeseburger,Tomatoes,0.05,kg,27.45
2023-01-02,ORD-20230102-1820,Cheeseburger,Onion,0.02,kg,24.2
2023-01-02,ORD-20230102-6935,Cheeseburger,Burger Bun,1,piece,84
2023-01-02,ORD-20230102-6935,Cheeseburger,Burger Patty,1,piece,64
2023-01-02,ORD-20230102-6935,Cheeseburger,Mozzarella Cheese,0.05,kg,23.5
2023-01-02,ORD-20230102-6935,Cheeseburger,Lettuce,0.1,head,43.9
2023-01-02,ORD-20230102-6935,Cheeseburger,Tomatoes,0.05,kg,27.4
2023-01-02,ORD-20230102-6935,Cheeseburger,Onion,0.02,kg,24.18
2023-01-02,ORD-20230102-5523,Caesar Salad,Lettuce,0.5,head,43.4
2023-01-02,ORD-20230102-5523,Caesar Salad,Tomatoes,0.2,kg,27.2
2023-01-02,ORD-20230102-5523,Caesar Salad,Mozzarella Cheese,0.05,kg,23.45
2023-01-02,ORD-20230102-8205,Spaghetti Bolognese,Pasta,0.2,kg,47.8
2023-01-02,ORD-20230102-8205,Spaghetti Bolognese,Tomato Sauce,0.15,liter,43.75
2023-01-02,ORD-20230102-8205,Spaghetti Bolognese,Ground Beef,0.15,kg,38.35
2023-01-02,ORD-20230102-8205,Spaghetti Bolognese,Onion,0.05,kg,24.13
2023-01-02,ORD-20230102-4323,Margherita Pizza,Pizza Dough,1,ball,76
2023-01-02,ORD-20230102-4323,Margherita Pizza,Tomato Sauce,0.2,liter,43.55
2023-01-02,ORD-20230102-4323,Margherita Pizza,Mozzarella Cheese,0.25,kg,23.2
2023-01-02,ORD-20230102-9203,Margherita Pizza,Pizza Dough,1,ball,75
2023-01-02,ORD-20230102-9203,Margherita Pizza,Tomato Sauce,0.2,liter,43.35
2023-01-02,ORD-20230102-9203,Margherita Pizza,Mozzarella Cheese,0.25,kg,22.95
2023-01-02,ORD-20230102-6972,Caesar Salad,Lettuce,0.5,head,42.9
2023-01-02,ORD-20230102-6972,Caesar Salad,Tomatoes,0.2,kg,27.0
2023-01-02,ORD-20230102-6972,Caesar Salad,Mozzarella Cheese,0.05,kg,22.9
2023-01-02,ORD-20230102-7973,Caesar Salad,Lettuce,0.5,head,42.4
2023-01-02,ORD-20230102-7973,Caesar Salad,Tomatoes,0.2,kg,26.8
2023-01-02,ORD-20230102-7973,Caesar Salad,Mozzarella Cheese,0.05,kg,22.85
2023-01-02,ORD-20230102-2222,Pepperoni Pizza,Pizza Dough,1,ball,74
2023-01-02,ORD-20230102-2222,Pepperoni Pizza,Tomato Sauce,0.2,liter,43.15
2023-01-02,ORD-20230102-2222,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,22.65
2023-01-02,ORD-20230102-2222,Pepperoni Pizza,Pepperoni,0.1,kg,18.9
2023-01-02,ORD-20230102-2953,Margherita Pizza,Pizza Dough,1,ball,73
2023-01-02,ORD-20230102-2953,Margherita Pizza,Tomato Sauce,0.2,liter,42.95
2023-01-02,ORD-20230102-2953,Margherita Pizza,Mozzarella Cheese,0.25,kg,22.4
2023-01-02,ORD-20230102-1157,Caesar Salad,Lettuce,0.5,head,41.9
2023-01-02,ORD-20230102-1157,Caesar Salad,Tomatoes,0.2,kg,26.6
2023-01-02,ORD-20230102-1157,Caesar Salad,Mozzarella Cheese,0.05,kg,22.35
2023-01-02,ORD-20230102-3862,Margherita Pizza,Pizza Dough,1,ball,72
2023-01-02,ORD-20230102-3862,Margherita Pizza,Tomato Sauce,0.2,liter,42.75
2023-01-02,ORD-20230102-3862,Margherita Pizza,Mozzarella Cheese,0.25,kg,22.1
2023-01-02,ORD-20230102-1730,Pepperoni Pizza,Pizza Dough,1,ball,71
2023-01-02,ORD-20230102-1730,Pepperoni Pizza,Tomato Sauce,0.2,liter,42.55
2023-01-02,ORD-20230102-1730,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,21.9
2023-01-02,ORD-20230102-1730,Pepperoni Pizza,Pepperoni,0.1,kg,18.8
2023-01-02,ORD-20230102-3172,Caesar Salad,Lettuce,0.5,head,41.4
2023-01-02,ORD-20230102-3172,Caesar Salad,Tomatoes,0.2,kg,26.4
2023-01-02,ORD-20230102-3172,Caesar Salad,Mozzarella Cheese,0.05,kg,21.85
2023-01-02,ORD-20230102-5574,Spaghetti Bolognese,Pasta,0.2,kg,47.6
2023-01-02,ORD-20230102-5574,Spaghetti Bolognese,Tomato Sauce,0.15,liter,42.4
2023-01-02,ORD-20230102-5574,Spaghetti Bolognese,Ground Beef,0.15,kg,38.2
2023-01-02,ORD-20230102-5574,Spaghetti Bolognese,Onion,0.05,kg,24.08
2023-01-02,ORD-20230102-8648,Cheeseburger,Burger Bun,1,piece,83
2023-01-02,ORD-20230102-8648,Cheeseburger,Burger Patty,1,piece,63
2023-01-02,ORD-20230102-8648,Cheeseburger,Mozzarella Cheese,0.05,kg,21.8
2023-01-02,ORD-20230102-8648,Cheeseburger,Lettuce,0.1,head,41.3
2023-01-02,ORD-20230102-8648,Cheeseburger,Tomatoes,0.05,kg,26.35
2023-01-02,ORD-20230102-8648,Cheeseburger,Onion,0.02,kg,24.06
2023-01-02,ORD-20230102-5960,Cheeseburger,Burger Bun,1,piece,82
2023-01-02,ORD-20230102-5960,Cheeseburger,Burger Patty,1,piece,62
2023-01-02,ORD-20230102-5960,Cheeseburger,Mozzarella Cheese,0.05,kg,21.75
2023-01-02,ORD-20230102-5960,Cheeseburger,Lettuce,0.1,head,41.2
2023-01-02,ORD-20230102-5960,Cheeseburger,Tomatoes,0.05,kg,26.3
2023-01-02,ORD-20230102-5960,Cheeseburger,Onion,0.02,kg,24.04
2023-01-02,ORD-20230102-5802,Margherita Pizza,Pizza Dough,1,ball,70
2023-01-02,ORD-20230102-5802,Margherita Pizza,Tomato Sauce,0.2,liter,42.2
2023-01-02,ORD-20230102-5802,Margherita Pizza,Mozzarella Cheese,0.25,kg,21.5
2023-01-02,ORD-20230102-7931,Margherita Pizza,Pizza Dough,1,ball,69
2023-01-02,ORD-20230102-7931,Margherita Pizza,Tomato Sauce,0.2,liter,42.0
2023-01-02,ORD-20230102-7931,Margherita Pizza,Mozzarella Cheese,0.25,kg,21.25
2023-01-02,ORD-20230102-2149,Pepperoni Pizza,Pizza Dough,1,ball,68
2023-01-02,ORD-20230102-2149,Pepperoni Pizza,Tomato Sauce,0.2,liter,41.8
2023-01-02,ORD-20230102-2149,Pepperoni Pizza,Mozzarella Cheese,0.2,kg,21.05
2023-01-02,ORD-20230102-2149,Pepperoni Pizza,Pepperoni,0.1,kg,18.7
2023-01-02,ORD-20230102-6770,Cheeseburger,Burger Bun,1,piece,81
